------
Au1Cu1, tetragonal, P4/mmm
-------
100   0   top-b   Zn   -0.15941288000000675
100   0   bridge-a   Zn   26.1330187
100   1   top-a   Rh   -1.9235751899999958
100   1   top-b   Rh   -2.0624340199999995
100   1   bridge-a   Rh   23.905317710000006
110   0   top-a   Zn   0.06447549999999858
110   0   top-b   Rh   -1.7761184000000032
------
Ni1Zn1, tetragonal, P4/mmm
-------
001   0   top-a   Ni   0.7011216299999994
001   0   top-b   Zn   -0.24124089999999931
001   0   bridge-a   Zn   -0.049805570000001964
001   1   top-a   Ni   -1.8428659799999991
001   1   top-b   Ni   -1.5221199200000015
001   1   bridge-a   Ni   -1.7911419399999993
011   0   top-a   Zn   0.00265356000000061
011   0   top-b   Ni   -1.361461359999998
110   0   top-a   Zn   -0.0003173699999994284
110   0   top-b   Ni   -1.467243680000001
------
Pd1Zn1, tetragonal, P4/mmm
-------
001   0   top-a   Zn   -0.1252212400000019
001   0   top-b   Zn   -0.28445427000000123
001   1   top-a   Pd   -0.9541115100000006
001   1   top-b   Pd   -0.859262600000001
011   0   top-a   Zn   -0.04891434000000139
011   0   top-b   Pd   -0.735726080000001
110   0   top-a   Zn   0.027998209999998025
110   0   top-b   Pd   -0.852429299999999
------
Pd8Zn4, orthorhombic, Pnma
-------
010   0   top-a   Zn   -0.12173001999999578
010   0   top-b   Pd   -1.0629449100000006
010   0   top-c   Pd   -0.9617001799999958
010   0   bridge-a   Pd   -0.38312038999999665
010   0   bridge-b   Pd   -1.0642134000000016
010   0   bridge-c   Pd   -1.06595804
010   0   bridge-d   Pd   -1.0619580400000022
010   0   bridge-e   Pd   -1.3830226200000002
010   0   bridge-f   Pd   -1.3835094099999967
010   0   bridge-g   Pd   -1.3864250899999977
010   0   bridge-h   Pd   -0.9634860599999957
010   0   bridge-i   Pd   -1.385748940000001
------
Pt1Zn1, tetragonal, P4/mmm
-------
001   0   top-a   Zn   -0.0850602000000027
001   0   top-b   Zn   -0.2977404300000064
001   0   bridge-a   Zn   -0.2705825199999996
001   1   top-a   Pt   -1.0637787400000054
001   1   top-b   Pt   -1.116685410000004
001   1   bridge-c   Pt   -1.456195370000005
011   0   top-a   Zn   -0.07232457000000103
011   0   top-b   Pt   -1.1571425900000012
110   0   top-a   Zn   0.03706602999999653
110   0   top-b   Pt   -1.408429650000004
------
Pt3Zn1, cubic, Pm-3m
-------
100   0   top-a   Zn   -0.03204877000000472
100   0   top-b   Pt   -1.6541871000000032
100   0   bridge-a   Pt   -1.652069060000004
100   1   top-a   Pt   -1.3915681100000032
100   1   bridge-a   Pt   -1.6595674699999936
111   0   top-a   Zn   -0.1001229299999995
111   0   top-b   Pt   -1.3987643099999918
111   0   bridge-a   Pt   -1.5191869600000008
111   0   bridge-b   Pt   -1.400550560000001
111   0   bridge-c   Pt   -1.1761417199999915
------
Au1Zn1, cubic, Pm-3m
-------
100   0   top-a   Zn   -0.08511407999999854
100   0   top-b   Zn   -0.31910825999999837
100   0   bridge-b   Zn   -0.37579393999999944
100   1   top-a   Zn   -0.20606235000000162
100   1   top-b   Au   -0.19313468000000178
100   1   bridge-b   Au   0.0211765400000008
110   0   top-a   Zn   -0.0029728799999997335
110   0   top-b   Au   0.10413904000000151
110   0   bridge-a   Zn   0.1364138999999991
110   0   bridge-b   Zn   0.01846436000000118
110   0   bridge-c   Au   0.31455995000000136
------
Cd1Pd1, tetragonal, P4/mmm
-------
001   0   top-a   Cd   -0.08666956999999975
001   0   top-b   Cd   -0.08111721000000038
001   1   top-a   Pd   -1.0123753299999994
001   1   top-b   Pd   -0.9183541900000005
110   0   top-a   Cd   -0.07430719000000074
110   0   top-b   Pd   -0.889116379999999
110   0   bridge-a   Pd   -0.8867307300000018
110   0   bridge-b   Pd   -0.6020495900000018
110   0   bridge-c   Cd   0.3221142100000005
------
Cd2Pd6, tetragonal, I4/mmm
-------
001   0   top-a   Pd   -1.0844967000000008
001   0   top-b   Cd   -0.11418638999999864
001   0   top-c   Pd   -1.0675522100000006
001   1   top-a   Pd   -1.6310819699999985
001   1   top-b   Pd   -1.6210419399999996
001   1   top-c   Pd   -1.1358355499999977
100   0   top-a   Cd   -0.11308958000000224
